id;commune;nb_especes;nb_gites;nb_individus;batiments_prospectes;cavites_prospectees;nuits_acoustiques;date_maj
vissec;Vissec;;;;;;;
le-caylar;Le Caylar;;;;;;;
les-rives;Les Rives;;;;;;;
saint-michel;Saint-Michel-d’Alajou;;;;;;;
le-cros;Le Cros;;;;;;;
sorbs;Sorbs;;;;;;;
romiguieres;Romiguières;;;;;;;
saint-felix;Saint-Félix-de-l’Héras;;;;;;;
saint-maurice;Saint-Maurice-Navacelles;;;;;;;
la-vacquerie;La Vacquerie-et-Saint-Martin-de-Castries;;;;;;;
saint-jean-bueges;Saint-Jean-de-Buèges;;;;;;;
pegairolles;Pégairolles-de-l’Escalette;;;;;;;
saint-pierre;Saint-Pierre-de-la-Fage;;;;;;;
lauroux;Lauroux;;;;;;;
saint-etienne;Saint-Étienne-de-Gourgas;;;;;;;
saint-privat;Saint-Privat;;;;;;;
soubes;Soubès;;;;;;;
arboras;Arboras;;;;;;;
fozieres;Fozières;;;;;;;
les-plans;Les Plans;;;;;;;
poujols;Poujols;;;;;;;
saint-jean-blaquiere;Saint-Jean-de-la-Blaquière;;;;;;;
saint-saturnin;Saint-Saturnin-de-Lucian;;;;;;;
soumont;Soumont;;;;;;;
